SM	LB	ID	Data
PPV1	ERR4880182_lb	ERR4880182_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880182_1.fastq.gz
PPV2	ERR4880183_lb	ERR4880183_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880183_1.fastq.gz
PPV3	ERR4880184_lb	ERR4880184_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880184_1.fastq.gz
PPV4	ERR4880185_lb	ERR4880185_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880185_1.fastq.gz
PPV5	ERR4880186_lb	ERR4880186_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880186_1.fastq.gz
PPV6	ERR4880187_lb	ERR4880187_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880187_1.fastq.gz
PPV7	ERR4880188_lb	ERR4880188_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880188_1.fastq.gz
PPV8	ERR4880189_lb	ERR4880189_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880189_1.fastq.gz
PPV9	ERR4880190_lb	ERR4880190_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880190_1.fastq.gz
PPV10	ERR4880191_lb	ERR4880191_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880191_1.fastq.gz
PPV11	ERR4880192_lb	ERR4880192_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880192_1.fastq.gz
PPV12	ERR4880193_lb	ERR4880193_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880193_1.fastq.gz
PPV13	ERR4880194_lb	ERR4880194_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880194_1.fastq.gz
PPV14	ERR4880195_lb	ERR4880195_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880195_1.fastq.gz
PPV15	ERR4880196_lb	ERR4880196_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880196_1.fastq.gz
PPV16	ERR4880197_lb	ERR4880197_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880197_1.fastq.gz
PPV17	ERR4880198_lb	ERR4880198_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/ERR4880198_1.fastq.gz
LIN1	SRR8144644_lb	SRR8144644_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144644.fastq.gz
LIN2	SRR8144645_lb	SRR8144645_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144645.fastq.gz
LIN3	SRR8144646_lb	SRR8144646_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144646.fastq.gz
LIN4	SRR8144647_lb	SRR8144647_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144647.fastq.gz
LIN5	SRR8144648_lb	SRR8144648_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144648.fastq.gz
LIN6	SRR8144649_lb	SRR8144649_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144649.fastq.gz
LIN7	SRR8144650_lb	SRR8144650_fq	/work/FAC/FBM/DBC/amalaspi/popgen/cegamorim/Andes/DATA/fastq_LINDO_POPOVIC/SRR8144650.fastq.gz
